institutioncode,institution,collectioncode,catalognumber,recordnumber,scientificname,kingdom,phylum,class,order,family,clade,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,vernacularname,sex
UWBM,University of Washington Burke Museum,Bird,76911,,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,,,Crowned Woodnymph,female
UWBM,University of Washington Burke Museum,Bird,76915,,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,,,Crowned Woodnymph,female
UWBM,University of Washington Burke Museum,Bird,76922,,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,,,Crowned Woodnymph,female
UWBM,University of Washington Burke Museum,Bird,76923,,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,,,Crowned Woodnymph,female
UWBM,University of Washington Burke Museum,Bird,76937,,Chalybura urochrysia isaurae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Chalybura,,urochrysia,isaurae,subspecies,,Bronze-tailed Plumeleteer,male
UWBM,University of Washington Burke Museum,Bird,76938,,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,,,Crowned Woodnymph,male
UWBM,University of Washington Burke Museum,Bird,76963,,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,,,Crowned Woodnymph,male
UWBM,University of Washington Burke Museum,Bird,76980,,Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,colombica,,,,Crowned Woodnymph,female
UWBM,University of Washington Burke Museum,Bird,76992,,Chalybura urochrysia isaurae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Chalybura,,urochrysia,isaurae,subspecies,,Bronze-tailed Plumeleteer,male
UWBM,University of Washington Burke Museum,Bird,77144,,Amazilia chionogaster,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,chionogaster,,species,,White-bellied Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,77145,,Hylocharis cyanus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Hylocharis,,cyanus,,species,,White-chinned Sapphire,male
UWBM,University of Washington Burke Museum,Bird,77156,,Basilinna leucotis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,leucotis,,,,White-eared Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,77373,,Chlorostilbon lucidus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Chlorostilbon,,lucidus,,,,Glittering-bellied Emerald,male
