institutioncode,institution,collectioncode,catalognumber,recordnumber,scientificname,kingdom,phylum,class,order,family,clade,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,vernacularname,sex
MMNH,Bell Museum of Natural History,Bird,50370,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50380,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50381,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50382,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50383,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50384,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50385,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50395,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50396,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50397,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50398,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50399,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
MMNH,Bell Museum of Natural History,Bird,50413,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
MMNH,Bell Museum of Natural History,Bird,50415,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50488,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:44297,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:44298,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:44457,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46448,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46449,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46450,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46451,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46452,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46453,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46454,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46457,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46458,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46459,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46460,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46461,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46462,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46463,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46464,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46465,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46466,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46467,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46468,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:46469,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60405,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60406,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60478,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60485,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60487,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60488,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60517,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60518,,Selasphorus rufus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
MSB,Museum of Southwestern Biology,Bird specimens,MSB:Bird:60521,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:183597,34,Trochilus polytmus polytmus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Emeralds,Trochilus,,polytmus,polytmus,subspecies,,Streamertail,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:183598,36,Trochilus polytmus polytmus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Emeralds,Trochilus,,polytmus,polytmus,subspecies,,Streamertail,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:180476,2406,Calypte anna,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:180477,61,Calypte anna,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:180478,2407,Calypte anna,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:181755,,Calypte anna,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:183556,67,Selasphorus sasin sedentarius,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,sasin,sedentarius,subspecies,,Allen's Hummingbird,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:183559,214,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:183703,190,Selasphorus calliope,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,calliope,,species,,Calliope Hummingbird,male
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:189442,,Calypte anna,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined (possibly f)
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:189443,,Calypte anna,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,female
MVZ,"Museum of Vertebrate Zoology, UC Berkeley",Bird specimens,MVZ:Bird:189444,,Calypte anna,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined (possibly f)
NYSM,New York State Museum,ZO,zo-10712,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
OMNH,Sam Noble Oklahoma Museum of Natural History,Birds,16050,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,,,Ruby-throated Hummingbird,male
OMNH,Sam Noble Oklahoma Museum of Natural History,Birds,16948,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,,,Ruby-throated Hummingbird,male
OMNH,Sam Noble Oklahoma Museum of Natural History,Birds,23156,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,,,Ruby-throated Hummingbird,male
ROM,Royal Ontario Museum,Birds,102351,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,,,Ruby-throated Hummingbird,male
UAM,University of Alaska Museum,Bird specimens,UAM:Bird:22693,,Amazilia tzacatl tzacatl,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Emeralds,Amazilia,,tzacatl,tzacatl,subspecies,,Rufous-tailed Hummingbird,undetermined
UAM,University of Alaska Museum,Bird specimens,UAM:Bird:36997,,Heliodoxa jacula,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Brilliants,Heliodoxa,,jacula,,species,,Green-crowned Brilliant,undetermined
UAM,University of Alaska Museum,Bird specimens,UAM:Bird:22452,,Archilochus colubris,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
UAZ,University of Arizona Museum of Natural History,Ornithology,UAz-013618,None,Lampornis clemenciae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,clemenciae,,species,,Blue-throated Hummingbird,undetermined
UAZ,University of Arizona Museum of Natural History,Ornithology,UAz-016157,TRH-2754,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male
UAZ,University of Arizona Museum of Natural History,Ornithology,UAz-013130,None,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
UAZ,University of Arizona Museum of Natural History,Ornithology,UAz-017315,TRH-3226,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,male
UBCBBM,University of British Columbia Beaty Biodiversity Museum,CTC,B014754,,Selasphorus calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,calliope,,species,,Calliope Hummingbird,male
UBCBBM,University of British Columbia Beaty Biodiversity Museum,CTC,B014910,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,female
UCM,University of Colorado Museum of Natural History,Bird specimens,UCM:Bird:16210,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male
UF,Florida Museum of Natural History,Birds,42635,ANDREW W. KRATTER 2258,Glaucis hirsutus insularum,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Glaucis,,hirsutus,insularum,subspecies,,Rufous-breasted Hermit,male
UF,Florida Museum of Natural History,Birds,40050,ANDREW W. KRATTER 1466,Chlorostilbon ricordii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Chlorostilbon,,ricordii,,species,,Cuban Emerald,male
UF,Florida Museum of Natural History,Birds,21971,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
UF,Florida Museum of Natural History,Birds,22051,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UF,Florida Museum of Natural History,Birds,40635,TERRY TAYLOR 126,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UF,Florida Museum of Natural History,Birds,50116,ANDREW W. KRATTER 4155,Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,female
UMMZ,University of Michigan Museum of Zoology,birds,236105,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245555,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
UMMZ,University of Michigan Museum of Zoology,birds,245603,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245604,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
UMMZ,University of Michigan Museum of Zoology,birds,245655,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
UMMZ,University of Michigan Museum of Zoology,birds,245665,B877-16,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245684,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245685,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245695,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245696,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
UMMZ,University of Michigan Museum of Zoology,birds,245697,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245704,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
UMMZ,University of Michigan Museum of Zoology,birds,245707,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
UMMZ,University of Michigan Museum of Zoology,birds,245724,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
University of Alberta Museums,University of Alberta Museums,UAMZ,B7212,,Stellula calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Stellula,,Stellula calliope,,Species,,Calliope Hummingbird,undetermined
University of Alberta Museums,University of Alberta Museums,UAMZ,B7455,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,Archilochus colubris,,Species,,ruby-throated hummingbird,undetermined
UTEP,University of Texas at El Paso,Bird specimens,UTEP:Bird:2204,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,female
UTEP,University of Texas at El Paso,Bird specimens,UTEP:Bird:2205,,Archilochus alexandri,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male
UTEP,University of Texas at El Paso,Bird specimens,UTEP:Bird:2489,,Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
UTEP,University of Texas at El Paso,Bird specimens,UTEP:Bird:2495,,Selasphorus rufus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,47618,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,,,Purple-throated Mountaingem,male
UWBM,University of Washington Burke Museum,Bird,56113,,Lampornis sybillae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,sybillae,,species,,Green-breasted Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,56118,,Lampornis sybillae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,sybillae,,species,,Green-breasted Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,56121,,Lampornis sybillae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,sybillae,,species,,Green-breasted Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,56152,,Lampornis sybillae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,sybillae,,species,,Green-breasted Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,56159,,Lampornis sybillae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,sybillae,,species,,Green-breasted Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,56160,,Lampornis sybillae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,sybillae,,species,,Green-breasted Mountain-gem,female
UWBM,University of Washington Burke Museum,Bird,56178,,Lampornis sybillae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,sybillae,,species,,Green-breasted Mountain-gem,female
UWBM,University of Washington Burke Museum,Bird,56201,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaema,,species,,Purple-throated Mountain-gem,female
UWBM,University of Washington Burke Museum,Bird,56209,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountain-gem,female
UWBM,University of Washington Burke Museum,Bird,56210,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,56216,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountain-gem,female
UWBM,University of Washington Burke Museum,Bird,56224,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,69098,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountain-gem,female
UWBM,University of Washington Burke Museum,Bird,69099,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,69116,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountain-gem,male
UWBM,University of Washington Burke Museum,Bird,69126,,Lampornis calolaemus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,calolaemus,,species,,Purple-throated Mountaingem,female
UWBM,University of Washington Burke Museum,Bird,69186,,Heliomaster constantii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Heliomaster,,constantii,,species,,Plain-capped Starthroat,male
UWBM,University of Washington Burke Museum,Bird,76935,,Heliothryx barroti,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Heliothryx,,barroti,,species,,Purple-crowned Fairy,female
UWBM,University of Washington Burke Museum,Bird,77545,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,,,Rivoli's Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82363,,Lampornis clemenciae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Lampornis,,clemenciae,,species,,Blue-throated Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82365,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,,,Rivoli's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82466,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,,,Rivoli's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82469,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,,,Rivoli's Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82524,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,species,,Rivoli's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82535,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,species,,Rivoli's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82630,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,species,,Rivoli's Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82631,,Eugenes fulgens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Eugenes,,fulgens,,species,,Rivoli's Hummingbird,female
