UWBM,Bird,77373,,Chlorostilbon aureoventris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Chlorostilbon,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,aureoventris,,species,,Glittering-bellied Emerald,male,present,wing | tissue,
UWBM,Bird,69030,,Chlorostilbon canivetii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Chlorostilbon,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,canivetii,,species,,Canivet's Emerald,male,present,skel/wing | tissue,
MCZ,Orn,348002,,Chlorostilbon canivetii,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Chlorostilbon canivetii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,canivetii,,,,,male,,tissue (frozen: vapor phase nitrogen); partial skeleton (dry); spread wing (dry),not applicable
YPM,VZ,YPM ORN 148418,,Chlorostilbon lucidus berlepschi,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,lucidus,berlepschi,Subspecies,,Hummingbirds; Birds; vertebrates; chordates; animals,female,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 148371,,Chlorostilbon lucidus berlepschi,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,lucidus,berlepschi,Subspecies,,Hummingbirds; Birds; vertebrates; chordates; animals,female,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 148159,,Chlorostilbon lucidus berlepschi,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,lucidus,berlepschi,Subspecies,,Hummingbirds; Birds; vertebrates; chordates; animals,female,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 148447,,Chlorostilbon lucidus berlepschi,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,lucidus,berlepschi,Subspecies,,Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
LSUMZ,Birds,150459,,Chlorostilbon maugaeus,,|  |  |  |  | Chlorostilbon,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,maugaeus,,species,,,,present,Skeleton & Spread Wing,
UF,Birds,40050,ANDREW W. KRATTER 1466,Chlorostilbon ricordii,,APODIFORMES | TROCHILIDAE | CHLOROSTILBON,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chlorostilbon,,ricordii,,species,,,male,present,skeleton | wing,
CM,Birds,S13775,,Colibri coruscans,,Apodiformes | Trochilidae |  | COLIBRI,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,,coruscans,,species,,,undetermined,present,Skeleton and Wing | tissue,
CM,Birds,S9335,,Colibri delphinae,,Apodiformes | Trochilidae |  | COLIBRI,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,,delphinae,,species,,,male,present,Skeleton and Wing | tissue,
UWBM,Bird,77187,,Colibri thalassinus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Colibri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,,thalassinus,,species,,Green Violetear,male,present,wing | tissue,
UWBM,Bird,77748,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,81422,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82499,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82512,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82614,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82713,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82406,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82603,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82674,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82707,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,84058,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,84074,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,89049,,Cynanthus latirostris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Cynanthus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male,present,wing | tissue,
YPM,VZ,YPM ORN 142542,,Doricha enicura,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Doricha,,enicura,,Species,,Slender Sheartail; Hummingbirds; Birds; vertebrates; chordates; animals,male,,tissue frozen (skin and wing voucher at Museo de Historia Natural de la Universidad de San Carlos de Guatemala),
YPM,VZ,YPM ORN 142510,,Doricha enicura,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Doricha,,enicura,,Species,,Slender Sheartail; Hummingbirds; Birds; vertebrates; chordates; animals,female,,"skin, round; wing; skeleton (incomplete); tissue frozen",
YPM,VZ,YPM ORN 142509,,Doricha enicura,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Doricha,,enicura,,Species,,Slender Sheartail; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; skeleton (incomplete); tissue frozen",
YPM,VZ,YPM ORN 142508,,Doricha enicura,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Doricha,,enicura,,Species,,Slender Sheartail; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; skeleton (incomplete); tissue frozen",
UWBM,Bird,77170,,Eriocnemis glaucopoides,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eriocnemis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eriocnemis,,glaucopoides,,species,,Blue-capped Puffleg,female,present,wing | tissue,
UWBM,Bird,77545,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82466,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82469,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82524,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82630,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82868,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82905,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82365,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82535,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82631,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82633,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82634,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82638,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82653,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82852,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82914,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82916,,Eugenes fulgens,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,round/wing | tissue,
UAZ,Ornithology,UAz-016157,TRH-2754,Eugenes fulgens,,| Apodiformes |  | Trochilidae | Trochilinae | Eugenes,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,,fulgens,,species,,Magnificent Hummingbird,male,present,Skeleton + 1 Wing + Tail,
YPM,VZ,YPM ORN 137571,,Eupetomena macroura macroura,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupetomena,,macroura,macroura,Subspecies,,Swallow-tailed Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,skeleton; tissue frozen; wing,
UWBM,Bird,56114,,Eupherusa eximia,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eupherusa,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupherusa,,eximia,,species,,Stripe-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56107,,Eupherusa eximia,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eupherusa,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupherusa,,eximia,,species,,Stripe-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56117,,Eupherusa eximia,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eupherusa,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupherusa,,eximia,,species,,Stripe-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56173,,Eupherusa eximia,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eupherusa,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupherusa,,eximia,,species,,Stripe-tailed Hummingbird,female,present,round/wing | tissue,
MCZ,Orn,337322,,Eupherusa eximia,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Eupherusa eximia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupherusa,,eximia,,,,,male,,tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); partial skeleton (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen) sample,in collection
LSUMZ,Birds,163857,,Eupherusa eximia,,|  |  |  |  | Eupherusa,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupherusa,,eximia,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,163858,,Eupherusa nigriventris,,|  |  |  |  | Eupherusa,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupherusa,,nigriventris,,species,,,,present,Skeleton & Spread Wing,
CUMV,Bird,51896,IJL 04-073,Eutoxeres aquila,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,,species,,,,present,whole organism (C & S); tissue (frozen); spread wing,
MCZ,Orn,347999,,Eutoxeres aquila,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Eutoxeres aquila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,,,,,male,,tissue (frozen); partial skeleton (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen),not applicable
UWBM,Bird,76925,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,male,present,round/wing | tissue,
UWBM,Bird,76940,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,male,present,round/wing | tissue,
UWBM,Bird,76943,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,undetermined,present,round/wing | tissue,
UWBM,Bird,76949,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,male,present,round/wing | tissue,
UWBM,Bird,76953,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,female,present,round/wing | tissue,
UWBM,Bird,76868,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,male,present,skel/wing | tissue,
UWBM,Bird,76908,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,female,present,round/wing | tissue,
UWBM,Bird,76969,,Eutoxeres aquila salvini,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Eutoxeres,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eutoxeres,,aquila,salvini,subspecies,,White-tipped Sicklebill,male,present,round/wing | tissue,
MCZ,Orn,335462,,Florisuga mellivora,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Florisuga mellivora,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Florisuga,,mellivora,,,,,female,,tissue (frozen: vapor phase nitrogen); partial skeleton (dry); spread wing (dry),unknown
MCZ,Orn,335463,,Florisuga mellivora,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Florisuga mellivora,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Florisuga,,mellivora,,,,,male,,tissue (frozen: vapor phase nitrogen); partial skeleton (dry); spread wing (dry),unknown
UWBM,Bird,56051,,Glaucis aenea,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Glaucis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Glaucis,,aenea,,species,,Bronzy Hermit,male,present,round/wing | tissue,
UWBM,Bird,56052,,Glaucis aenea,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Glaucis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Glaucis,,aenea,,species,,Bronzy Hermit,male,present,round/wing | tissue,
UF,Birds,42635,ANDREW W. KRATTER 2258,Glaucis hirsutus insularum,,| TROCHILIDAE | GLAUCIS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Glaucis,,hirsutus,insularum,subspecies,,,male,present,SKEL+WING | tissues,
UAM,Bird specimens,UAM:Bird:36997,,Heliodoxa jacula,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Heliodoxa,,jacula,,species,,,undetermined,,tissue (frozen); wing,
UWBM,Bird,69186,,Heliomaster constantii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Heliomaster,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliomaster,,constantii,,species,,Plain-capped Starthroat,male,present,round/wing | tissue,
UWBM,Bird,82665,,Heliomaster constantii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Heliomaster,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliomaster,,constantii,,species,,Plain-capped Starthroat,male,present,round/wing | tissue,
UWBM,Bird,84014,,Heliomaster constantii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Heliomaster,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliomaster,,constantii,,species,,Plain-capped Starthroat,male,present,round/wing | tissue,
UWBM,Bird,84015,,Heliomaster constantii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Heliomaster,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliomaster,,constantii,,species,,Plain-capped Starthroat,undetermined,present,round/wing | tissue,
UWBM,Bird,84053,,Heliomaster constantii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Heliomaster,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliomaster,,constantii,,species,,Plain-capped Starthroat,female,present,round/wing | tissue,
UWBM,Bird,83947,,Heliomaster constantii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Heliomaster,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliomaster,,constantii,,species,,Plain-capped Starthroat,male,present,round/wing | tissue,
MCZ,Orn,337052,,Heliomaster constantii,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Heliomaster constantii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliomaster,,constantii,,,,,male,,skeleton (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen),in collection
UWBM,Bird,76935,,Heliothryx barroti,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Heliothryx,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliothryx,,barroti,,species,,Purple-crowned Fairy,female,present,round/wing | tissue,
YPM,VZ,YPM ORN 148361,,Hylocharis chrysura,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,chrysura,,Species,,Gilded Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
UWBM,Bird,77145,,Hylocharis cyanus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,cyanus,,species,,White-chinned Sapphire,male,present,wing | tissue,
UWBM,Bird,56017,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,female,present,round/wing | tissue,
UWBM,Bird,69113,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,male,present,round/wing | tissue,
UWBM,Bird,69114,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,male,present,round/wing | tissue,
UWBM,Bird,69119,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,female,present,round/wing | tissue,
UWBM,Bird,69123,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,male,present,round/wing | tissue,
UWBM,Bird,69130,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,female,present,round/wing | tissue,
UWBM,Bird,56054,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,male,present,round/wing | tissue,
UWBM,Bird,68966,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,male,present,round/wing | tissue,
UWBM,Bird,69046,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,male,present,round/wing | tissue,
UWBM,Bird,69088,,Hylocharis eliciae,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,eliciae,,species,,Blue-throated Goldentail,male,present,round/wing | tissue,
UWBM,Bird,82629,,Hylocharis leucotis,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,leucotis,,species,,White-eared Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,81366,,Hylocharis xantusii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,xantusii,,species,,Xantus' Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82347,,Hylocharis xantusii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,xantusii,,species,,Xantus' Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82686,,Hylocharis xantusii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,xantusii,,species,,Xantus' Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82688,,Hylocharis xantusii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,xantusii,,species,,Xantus' Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,81176,,Hylocharis xantusii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,xantusii,,species,,Xantus' Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,81364,,Hylocharis xantusii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Hylocharis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hylocharis,,xantusii,,species,,Xantus' Hummingbird,male,present,round/wing | tissue,
